# Time,Net_Displacement
1.840000000000000000e+02,6.505382386916237181e+01
1.850000000000000000e+02,6.533619900121912849e+01
1.860000000000000000e+02,6.576229229838682500e+01
1.870000000000000000e+02,6.604284962278714488e+01
1.880000000000000000e+02,6.646803743153546407e+01
1.890000000000000000e+02,6.675039969114214955e+01
1.900000000000000000e+02,6.717647719506038584e+01
1.910000000000000000e+02,6.745706001078315239e+01
1.920000000000000000e+02,6.788225099390855632e+01
1.930000000000000000e+02,6.816460091519316222e+01
1.940000000000000000e+02,6.859066327379017025e+01
1.950000000000000000e+02,6.887127052914533465e+01
1.960000000000000000e+02,6.929646455628164858e+01
1.970000000000000000e+02,6.957880264080343125e+01
1.980000000000000000e+02,7.000485046293911751e+01
1.990000000000000000e+02,7.028548117000441664e+01
